Code,DisplayName,Group,Resource,Action,Product
agone.users.create,Create Users,User Management,Users,Create,AG ONE (admin)
agone.users.read,Read Users,User Management,Users,Read,AG ONE (admin)
agone.users.update,Update Users,User Management,Users,Update,AG ONE (admin)
agone.users.delete,Delete Users,User Management,Users,Delete,AG ONE (admin)
agone.roles.create,Create Roles,User Management,Roles,Create,AG ONE (admin)
agone.roles.read,Read Roles,User Management,Roles,Read,AG ONE (admin)
agone.roles.update,Update Roles,User Management,Roles,Update,AG ONE (admin)
agone.roles.delete,Delete Roles,User Management,Roles,Delete,AG ONE (admin)
agone.permissions.create,Create Permissions,User Management,Permissions,Create,AG ONE (admin)
agone.permissions.read,Read Permissions,User Management,Permissions,Read,AG ONE (admin)
agone.permissions.update,Update Permissions,User Management,Permissions,Update,AG ONE (admin)
agone.permissions.delete,Delete Permissions,User Management,Permissions,Delete,AG ONE (admin)
agone.tenant.create,Create Tenant Info,Tenant Management,Tenant Information,Create,AG ONE (admin)
agone.tenant.read,Read Tenant Info,Tenant Management,Tenant Information,Read,AG ONE (admin)
agone.tenant.update,Update Tenant Info,Tenant Management,Tenant Information,Update,AG ONE (admin)
agone.tenant.delete,Delete Tenant Info,Tenant Management,Tenant Information,Delete,AG ONE (admin)
agone.subscription.create,Create Subscriptions,Tenant Management,Subscriptions,Create,AG ONE (admin)
agone.subscription.read,Read Subscriptions,Tenant Management,Subscriptions,Read,AG ONE (admin)
agone.subscription.update,Update Subscriptions,Tenant Management,Subscriptions,Update,AG ONE (admin)
agone.subscription.delete,Delete Subscriptions,Tenant Management,Subscriptions,Delete,AG ONE (admin)
agone.billing.create,Create Billing,Tenant Management,Billing,Create,AG ONE (admin)
agone.billing.read,Read Billing,Tenant Management,Billing,Read,AG ONE (admin)
agone.billing.update,Update Billing,Tenant Management,Billing,Update,AG ONE (admin)
agone.billing.delete,Delete Billing,Tenant Management,Billing,Delete,AG ONE (admin)
agone.masterdata.create,Create Master Data,Master Data,Master Data,Create,AG ONE (admin)
agone.masterdata.read,Read Master Data,Master Data,Master Data,Read,AG ONE (admin)
agone.masterdata.update,Update Master Data,Master Data,Master Data,Update,AG ONE (admin)
agone.masterdata.delete,Delete Master Data,Master Data,Master Data,Delete,AG ONE (admin)
agone.audit.read,Read Audit Logs,Audit,Audit Logs,Read,AG ONE (admin)
work.employee.create,Create Employee,Employee Management,Employee,Create,AG ONE Work
work.employee.read,Read Employee,Employee Management,Employee,Read,AG ONE Work
work.employee.update,Update Employee,Employee Management,Employee,Update,AG ONE Work
work.employee.delete,Delete Employee,Employee Management,Employee,Delete,AG ONE Work
work.recruitment.create,Create Recruitment,Employee Management,Recruitment,Create,AG ONE Work
work.recruitment.read,Read Recruitment,Employee Management,Recruitment,Read,AG ONE Work
